"G: 16000, DT: 0.0007",,x,y,vx,vy,p_mag,v_mag
,1,-849.328097,39.35403142,1662.696869,-0.155041334,850.2393523,1662.696876
,1,-846.9935396,39.35349214,1669.158909,-0.461507341,847.9072788,1669.158973
,1,-844.6498957,39.35252902,1675.658571,-0.763001815,845.5661227,1675.658745
,1,-842.297113,39.35114918,1682.195678,-1.059364116,843.2158322,1682.196012
,1,-839.9351393,39.34935996,1688.770036,-1.350455875,840.8563553,1688.770576
,1,-837.5639225,39.34716885,1695.38144,-1.636162134,838.4876409,1695.38223
,1,-835.183411,39.3445835,1702.029677,-1.916392415,836.1096377,1702.030756
,1,-832.7935536,39.34161164,1708.714523,-2.191081705,833.7222951,1708.715928
,1,-830.3942991,39.33826107,1715.435752,-2.460191357,831.3255625,1715.437516
,1,-827.985597,39.33453962,1722.193132,-2.723709906,828.9193898,1722.195286
,1,-825.5673968,39.3304551,1728.986433,-2.981653777,826.5037273,1728.989004
,1,-823.1396484,39.32601527,1735.815423,-3.234067898,824.0785256,1735.818436
,1,-820.7023023,39.32122779,1742.679878,-3.481026214,821.6437354,1742.683355
,1,-818.2553088,39.31610021,1749.579579,-3.722632079,819.199308,1749.583539
,1,-815.798619,39.31063987,1756.514318,-3.959018557,816.7451948,1756.51878
,1,-814.5666227,39.30778715,1759.994764,-4.075304277,815.5144909,1759.999483
,1,-810.855955,39.29874922,1770.488137,-4.416815114,811.8077183,1770.493647
,1,-808.369884,39.29233236,1777.526873,-4.63864094,809.3242593,1777.532925
,1,-805.8739226,39.28560958,1784.599962,-4.856078687,806.830923,1784.606569
,1,-803.368023,39.27858673,1791.707283,-5.069410495,804.3276619,1791.714455
,1,-800.8521372,39.27126922,1798.848745,-5.278947674,801.8144288,1798.85649
,1,-798.3262177,39.26366202,1806.02428,-5.485030259,799.2911766,1806.032609
,1,-795.7902166,39.25576958,1813.233854,-5.688026453,796.757858,1813.242776
,1,-793.2440864,39.24759581,1820.477468,-5.888331998,794.2144259,1820.486991
,1,-790.6877793,39.23914402,1827.755158,-6.086369451,791.6608332,1827.765292
,1,-788.1212477,39.23041694,1835.066997,-6.282587384,789.0970325,1835.077752
,1,-785.5444435,39.2214166,1842.413102,-6.477459512,786.5229763,1842.424488
,1,-782.9573186,39.21214438,1849.793631,-6.671483757,783.9386169,1849.805662
,1,-780.3598246,39.20260092,1857.20879,-6.865181248,781.3439062,1857.221479
,1,-777.7519129,39.1927861,1864.658831,-7.059095272,778.738796,1864.672193
,1,-775.1335341,39.18269903,1872.144056,-7.253790181,776.1232374,1872.158109
,1,-772.5046387,39.172338,1879.66482,-7.449850251,773.497181,1879.679583
,1,-769.8651766,39.16170048,1887.22153,-7.647878514,770.8605769,1887.237026
,1,-767.2150969,39.15078306,1894.814649,-7.848495566,768.2133745,1894.830904
,1,-763.2199565,39.13387247,1906.273751,-8.155672585,764.2225866,1906.291197
,1,-760.5431057,39.12223452,1913.9603,-8.365580915,761.5486622,1913.978582
,1,-757.8554534,39.11029764,1921.685342,-8.580370687,758.8639559,1921.704498
,1,-755.1569449,39.09805426,1929.449609,-8.800726261,756.1684133,1929.46968
,1,-752.4475245,39.08549588,1937.253898,-9.027342728,753.4619785,1937.274931
,1,-749.7271352,39.07261298,1945.099072,-9.260924664,750.7445946,1945.121118
,1,-746.9957188,39.05939506,1952.986059,-9.502184881,748.0162032,1953.009175
,1,-744.2532159,39.04583063,1960.915856,-9.751843193,745.2767447,1960.940104
,1,-741.4995652,39.03190716,1968.889528,-10.01062519,742.5261578,1968.914977
,1,-738.7347042,39.01761111,1976.908211,-10.27926101,739.7643795,1976.934935
,1,-735.9585687,39.00292792,1984.973111,-10.55848415,736.9913454,1985.001192
,1,-733.1710925,38.98784199,1993.085505,-10.84903025,734.206989,1993.115032
,1,-730.3722079,38.9723367,2001.246746,-11.15163592,731.4112421,2001.277816
,1,-727.5618448,38.95639439,2009.458258,-11.46703757,728.6040342,2009.490976
,1,-724.7399314,38.93999637,2017.721541,-11.7959702,725.785293,2017.756021
,1,-721.9063935,38.92312294,2026.038171,-12.13916628,722.9549436,2026.074537
,1,-719.0611547,38.90575335,2034.409802,-12.49735454,720.1129091,2034.448187
,1,-716.2041363,38.88786586,2042.838162,-12.87125885,717.25911,2042.87871
,1,-711.8963431,38.86001351,2055.59105,-13.46315111,712.9561725,2055.635138
,1,-709.0095139,38.84072952,2064.169324,-13.87946969,710.072597,2064.215986
,1,-706.1106087,38.82084365,2072.811009,-14.31398225,707.1769578,2072.860431
,1,-703.1995366,38.80032969,2081.518196,-14.76737595,704.2691629,2081.570579
,1,-700.2762035,38.77916051,2090.293059,-15.24032638,701.3491174,2090.348617
,1,-697.3405124,38.75730802,2099.137857,-15.73349633,698.4167231,2099.196819
,1,-694.3923629,38.73474324,2108.054931,-16.24753443,695.4718787,2108.117543
,1,-691.4316513,38.71143628,2117.04671,-16.78307376,692.514479,2117.113233
,1,-688.4582703,38.6873564,2126.115708,-17.34073049,689.5444159,2126.186423
,1,-685.4721092,38.662472,2135.264528,-17.92110234,686.5615771,2135.339732
,1,-682.4730533,38.63675068,2144.495862,-18.52476706,683.5658468,2144.575872
,1,-679.4609842,38.61015922,2153.81249,-19.15228082,680.5571052,2153.897642
,1,-676.4357795,38.58266369,2163.217283,-19.80417654,677.5352284,2163.307934
,1,-673.3973127,38.55422942,2172.713204,-20.48096209,674.5000885,2172.809733
,1,-670.345453,38.52482105,2182.30331,-21.18311847,671.4515531,2182.406117
,1,-667.2800652,38.49440259,2191.990748,-21.91109783,668.3894856,2192.100257
,1,-664.2010097,38.46293743,2201.778764,-22.66532147,665.3137446,2201.89542
,1,-659.5564824,38.41369573,2216.656698,-23.84670469,660.674175,2216.784965
,1,-656.4426158,38.37945021,2226.710972,-24.66815989,657.5636015,2226.847609
,1,-653.3145551,38.34402585,2236.877931,-25.51705879,654.4388224,2237.023468
,1,-650.1721389,38.30738398,2247.161251,-26.39365561,651.2996744,2247.316247
,1,-647.0152002,38.26948558,2257.564711,-27.29816055,648.1459888,2257.729747
,1,-643.8435667,38.23029141,2268.092183,-28.23073696,644.9775916,2268.267869
,1,-640.6570608,38.18976205,2278.747643,-29.19149853,641.7943031,2278.934612
,1,-637.455499,38.14785797,2289.535164,-30.1805062,638.5959382,2289.734074
,1,-634.2386919,38.10453961,2300.458918,-31.19776513,635.3823056,2300.670453
,1,-631.0064444,38.05976747,2311.523175,-32.24322141,632.1532083,2311.748043
,1,-627.7585553,38.01350219,2322.732307,-33.31675874,628.9084433,2322.971238
,1,-624.4948169,37.96570466,2334.09078,-34.41819505,625.6478011,2334.344529
,1,-621.2150155,37.91633605,2345.603159,-35.54727893,622.3710662,2345.872501
,1,-617.9189307,37.86535801,2357.274106,-36.70368609,619.0780162,2357.559834
,1,-614.6063354,37.81273269,2369.108377,-37.88701567,615.7684226,2369.411304
,1,-611.2769961,37.7584229,2381.11082,-39.09678662,612.4420498,2381.431775
,1,-607.9306719,37.7023922,2393.286377,-40.3324339,609.0986556,2393.6262
,1,-604.5671154,37.64460506,2405.640076,-41.59330485,605.7379907,2405.999621
,1,-599.4889107,37.55455574,2424.515856,-43.53025229,600.6640481,2424.9066
,1,-596.0811427,37.49222888,2437.337476,-44.85071867,597.2590694,2437.750102
,1,-592.6552188,37.42802998,2450.355504,-46.19338147,593.8358913,2450.790878
,1,-589.2108581,37.36192908,2463.575335,-47.55714903,590.3942319,2464.034317
,1,-585.7477726,37.29389791,2477.002433,-48.94082289,586.933802,2477.485874
,1,-582.2656662,37.22390993,2490.642329,-50.34309485,583.4543045,2491.151067
,1,-578.7642351,37.15194062,2504.500618,-51.7625443,579.9554349,2505.03547
,1,-575.2431676,37.07796751,2518.582948,-53.19763578,576.4368808,2519.144707
,1,-571.7021441,37.00197043,2532.895021,-54.64671705,572.8983221,2533.484448
,1,-568.140837,36.92393165,2547.442583,-56.10801744,569.3394308,2548.060404
,1,-564.5589105,36.84383603,2562.231418,-57.57964681,565.759871,2562.878315
,1,-560.9560207,36.76167122,2577.267347,-59.05959491,562.1592991,2577.943951
,1,-557.3318155,36.67742779,2592.556215,-60.54573147,558.5373633,2593.263101
,1,-553.6859346,36.59109943,2608.103886,-62.03580684,554.893704,2608.841567
,1,-550.0180096,36.5026831,2623.916242,-63.52745341,551.2279535,2624.685159
,1,-546.3276637,36.4121792,2639.999169,-65.0181878,547.5397364,2640.799685
,1,-542.614512,36.31959173,2656.358555,-66.50541382,543.8286691,2657.19095
,1,-537.0011609,36.17682181,2681.428863,-68.72372873,538.2183658,2682.309397
,1,-533.2292562,36.07906783,2698.505112,-70.19012313,534.4484436,2699.417806
,1,-529.4331334,35.97927473,2715.878352,-71.64309919,530.6542669,2716.823137
,1,-525.6123706,35.87746447,2733.554408,-73.07961536,526.835417,2734.531099
,1,-521.7665378,35.77366338,2751.539076,-74.49655096,522.9914674,2752.54737
,1,-517.8951968,35.6679022,2769.838123,-75.89071572,519.1219839,2770.877591
,1,-513.9979016,35.56021623,2788.457286,-77.25886043,515.2265248,2789.527373
,1,-510.0741979,35.45064534,2807.40227,-78.59768875,511.3046407,2808.502288
,1,-506.1236237,35.33923408,2826.678751,-79.9038701,507.355875,2827.807877
,1,-502.1457089,35.22603168,2846.292377,-81.17405366,503.3797635,2847.449652
,1,-498.1399756,35.11109204,2866.248772,-82.40488345,499.3758345,2867.4331
,1,-494.105938,34.99447378,2886.553544,-83.59301449,495.3436092,2887.763695
,1,-490.0431026,34.87624017,2907.212296,-84.7351299,491.2826015,2908.446901
,1,-485.9509678,34.75645906,2928.230628,-85.82795903,487.1923179,2929.488189
,1,-481.8290244,34.63520284,2949.614161,-86.86829643,483.0722576,2950.893051
,1,-477.6767552,34.51254826,2971.368547,-87.85302164,478.9219127,2972.667017
,1,-473.493635,34.38857637,2993.499486,-88.77911981,474.7407677,2994.815672
,1,-469.2791305,34.26337228,3016.012755,-89.64370293,470.5282998,3017.344683
,1,-462.8973416,34.07345151,3050.512405,-90.8192908,464.1497053,3051.864033
,1,-458.6019894,33.9455643,3074.007471,-91.51848238,459.8565929,3075.3695
,1,-454.2733211,33.81677185,3097.906037,-92.14737018,455.5302672,3099.276198
,1,-449.9107648,33.68717474,3122.21456,-92.70391484,451.1701697,3123.590526
,1,-445.5137398,33.55687617,3146.939747,-93.18633003,446.7757337,3148.319149
,1,-441.0816552,33.42598152,3172.088602,-93.59310657,442.3463833,3173.469043
,1,-436.6139103,33.29459797,3197.668471,-93.92303703,437.881533,3199.047544
,1,-432.1098937,33.16283408,3223.687098,-94.17524067,433.3805877,3225.0624
,1,-427.5689823,33.03079923,3250.152679,-94.34918883,428.8429414,3251.52183
,1,-422.9905416,32.89860319,3277.073925,-94.4447308,424.267977,3278.434583
,1,-418.3739237,32.76635549,3304.460124,-94.46212047,419.6550656,3305.810008
,1,-413.7184673,32.63416487,3332.321219,-94.40204381,415.003565,3333.658118
,1,-409.0234966,32.50213861,3360.667874,-94.26564741,410.3128194,3361.989675
,1,-404.2883197,32.37038189,3389.511564,-94.05456849,405.5821583,3390.81626
,1,-399.5122279,32.23899704,3418.864657,-93.77096665,400.8108946,3420.150368
,1,-394.6944941,32.10808279,3448.740507,-93.41755781,395.9983241,3450.005496
,1,-389.8343714,31.97773346,3479.153554,-92.99765088,391.1437237,3480.396244
,1,-382.4630209,31.78346171,3525.814926,-92.25191345,383.7813841,3527.021592
,1,-377.4935127,31.65490021,3557.642265,-91.68450173,378.8184062,3558.823476
,1,-372.4788203,31.52718573,3590.067518,-91.06745974,373.810694,3591.222364
,1,-367.4180847,31.40038096,3623.11146,-90.40732672,368.7574174,3624.239249
,1,-362.3104163,31.27453853,3656.79665,-89.71151873,363.6577162,3657.896923
,1,-357.1548919,31.14969968,3691.147595,-88.98840368,358.510698,3692.220132
,1,-351.9505516,31.02589286,3726.190922,-88.24738721,353.3154353,3727.235758
,1,-346.6963959,30.90313216,3761.955577,-87.49901128,348.0709619,3762.973005
,1,-341.3913821,30.78141563,3798.473027,-86.755068,342.77627,3799.463617
,1,-336.0344206,30.66072334,3835.777496,-86.02873123,337.4303065,3836.7421
,1,-330.6243708,30.54101536,3873.906214,-85.33470936,332.0319686,3874.84598
,1,-325.1600364,30.42222935,3912.8997,-84.68942303,326.5800994,3913.816087
,1,-319.6401609,30.304278,3952.802064,-84.11121241,321.0734834,3953.696859
,1,-314.0634217,30.1870461,3993.66135,-83.62057955,315.5108407,3994.536692
,1,-308.4284246,30.07038715,4035.529917,-83.24047238,309.8908215,4036.388322
,1,-302.733697,29.95411966,4078.464852,-82.99661828,304.2119994,4079.309254
,1,-296.977681,29.83802284,4122.528448,-82.91791703,298.4728642,4123.362242
,1,-288.2251024,29.66360437,4190.890561,-83.18182664,289.7475437,4191.715987
,1,-282.3084173,29.54666378,4238.087331,-83.66768316,283.8503969,4238.913127
,1,-276.3241989,29.42873338,4286.679839,-84.45233953,277.8868713,4287.511661
,1,-270.2703963,29.30934257,4336.761196,-85.58611306,271.85497,4337.605636
,1,-264.1448187,29.18794302,4388.433453,-87.12639359,265.7525565,4389.298256
,1,-257.9451222,29.06389742,4441.808573,-89.13886266,259.5773414,4442.702909
,1,-251.6687947,28.93646642,4497.009497,-91.69896259,253.3268665,4497.944321
,1,-245.3131393,28.80479312,4554.171336,-94.89367305,246.9984867,4555.159861
,1,-238.875256,28.66788464,4613.44268,-98.82366749,240.5893504,4614.501
,1,-232.3520211,28.52459032,4674.987033,-103.6059404,234.0963776,4676.134937
,1,-225.7400651,28.37357547,4738.984363,-109.3770203,227.5162341,4740.24642
,1,-219.0357474,28.21329001,4805.632735,-116.2969121,220.8453041,4807.039729
,1,-212.2351295,28.04193056,4875.150001,-124.5539529,214.0796582,4876.74084
,1,-205.3339459,27.85739462,4947.775442,-134.3708089,207.2150182,4949.599715
,1,-198.3275717,27.65722484,5023.771231,-146.0119009,200.2467173,5025.892643
,1,-191.2109902,27.43854105,5103.423492,-159.7926133,193.1696568,5105.924502
,1,-183.9787586,27.19795714,5187.042563,-176.0907197,185.9782581,5190.030683
,1,-172.9005244,26.78708527,5320.643912,-206.2769507,174.9632513,5324.641004
,1,-165.3522741,26.47263278,5415.680177,-231.0674878,167.4579793,5420.607343
,1,-157.6655418,26.1187489,5515.919481,-260.4245671,159.8143051,5522.063806
,1,-149.8326661,25.71812502,5621.719367,-295.2342816,152.0238461,5629.466398
,1,-141.8455222,25.2620182,5733.398724,-336.5700955,144.0774852,5743.269135
,1,-133.6956229,24.73995308,5851.191913,-385.7269223,135.9653811,5863.892228
,1,-125.3743087,24.13937838,5975.177244,-444.2525073,127.6770413,5991.669499
,1,-116.8730769,23.44529199,6105.168784,-513.9655783,119.2015009,6126.764766
,1,-108.1841115,22.6398738,6240.558775,-596.9401702,110.5276701,6269.043898
,1,-99.30109687,21.70221075,6380.100188,-695.4191034,101.6449398,6417.887981
,1,-90.22039711,20.60827436,6521.631926,-811.5961377,92.54415717,6571.938167
,1,-80.9426461,19.33142276,6661.784596,-947.1811369,83.21908353,6728.783405
,1,-71.47466865,17.84382839,6795.776779,-1102.656837,73.66838175,6884.652071
,1,-61.83138668,16.11930331,6917.520116,-1276.198904,63.89798368,7034.256762
,1,-52.03696032,14.13783634,7020.339112,-1462.433048,53.92331273,7171.043973
,1,-42.12405742,11.89155217,7098.518851,-1651.55502,43.77036927,7288.113875
,1,-32.13029582,9.390743714,7149.43125,-1829.623217,33.47449741,7379.829829
,1,-22.09200844,6.667707187,7175.269,-1980.565238,23.07628991,7443.596166
,1,-7.00882034,2.289354286,7183.42477,-2124.351641,7.373242543,7490.958638
,1,3.047542404,-0.717731837,7183.189241,-2150.811055,3.130918985,7498.279527
,1,13.10919214,-3.698275053,7188.904017,-2116.553147,13.6208721,7494.006818
,1,23.19027224,-6.566386278,7205.762759,-2020.924721,24.10199484,7483.792733
,1,33.30778047,-9.236893647,7234.744137,-1864.69029,34.56484405,7471.18415
,1,43.47583382,-11.62592978,7272.813996,-1648.764872,45.00344842,7457.362069
,1,53.70054023,-13.65058955,7313.395394,-1373.754879,55.40836233,7441.300603
,1,63.9754847,-15.22874051,7346.783897,-1040.24541,65.7630381,7420.063622
,1,74.27771449,-16.27988469,7360.494336,-649.6944389,76.0408674,7389.112242
,1,84.56433562,-16.72777946,7339.752183,-205.7979567,86.20293188,7342.636781
,1,94.7702787,-16.50527774,7268.474898,283.8742753,96.19682905,7274.016219
,1,104.8082914,-15.56137006,7131.089183,806.3717587,105.9572281,7176.535957
,1,114.5724795,-13.86955738,6915.29605,1342.665556,115.4089151,7044.43541
,1,123.9463271,-11.43556103,6615.349375,1868.575315,124.4727442,6874.18512
,1,132.8147876,-8.301555303,6234.722048,2357.777478,133.073978,6665.648779
,1,141.0780847,-4.544455072,5786.737338,2786.369499,141.1512595,6422.630614
,1,148.6634647,-0.267703846,5292.397313,3137.373647,148.6637058,6152.445263
,1,158.6934265,6.864626005,4516.996264,3504.661148,158.8418292,5717.158823
,1,164.482559,11.92896522,4009.439355,3648.732459,164.914561,5421.148633
,1,169.587619,17.12191049,3528.150527,3724.239511,170.449759,5130.088311
,1,174.0557005,22.36119767,3082.479497,3744.32196,175.4862104,4849.909977
,1,177.9414998,27.58293179,2676.656899,3721.940667,180.0666417,4584.466652
,1,181.3016058,32.73983491,2311.19603,3668.527486,184.2340062,4335.864505
,1,184.1907452,37.79849378,1984.255903,3593.458713,188.0291381,4104.901583
,1,186.6596456,42.73644135,1692.716848,3504.047351,191.4894951,3891.482772
,1,188.7540538,47.53951619,1432.924345,3405.792129,194.6486538,3694.954966
,1,190.514495,52.19967142,1201.152706,3302.712047,197.5362714,3514.35267
,1,191.9764616,56.71325075,993.8655725,3197.674779,200.1783071,3348.565778
,1,193.1708199,61.07967856,807.8427788,3092.679684,202.5973662,3196.447651
,1,194.1243065,65.3004879,640.2257336,2989.085233,204.8130857,3056.880685
,1,194.8600359,69.37861149,488.5166926,2887.78425,206.8425133,2928.813144
,1,195.3979819,73.3178713,350.5542797,2789.335419,208.700459,2811.277358
,1,195.7554122,77.12261525,224.4786483,2694.060273,210.399808,2703.396275
,1,195.9472712,80.79746137,108.6938747,2602.113884,211.9517937,2604.383041
,1,195.9865108,84.34711991,1.831605451,2513.53597,213.3662322,2513.536637
,1,195.7833962,89.44709096,-144.2542928,2386.884988,215.2485083,2391.240106
,1,195.4871223,92.70399929,-233.5923093,2306.44866,216.3544464,2318.247353
,1,195.0715963,95.85150396,-317.4488772,2229.054637,217.3486565,2251.545772
,1,194.5437494,98.89370534,-396.5230841,2154.550669,218.23665,2190.734841
,1,193.9096319,101.8344818,-471.4223616,2082.776668,219.0233025,2135.461939
,1,193.1745259,104.6774846,-542.6766979,2013.569994,219.7129337,2085.416534
,1,192.3430414,107.4261381,-610.7505989,1946.769031,220.309375,2040.324963
,1,191.4191969,110.0836437,-676.0531571,1882.215519,220.8160265,1999.945782
,1,190.4064883,112.6529863,-738.9465402,1819.756012,221.235906,1964.065664
,1,189.3079468,115.1369417,-799.7531636,1759.242696,221.5716906,1932.495792
,1,188.1261878,117.5380853,-858.7617714,1700.53377,221.8257515,1905.068735
,1,186.8634531,119.8588,-916.232612,1643.493506,222.0001848,1881.635752
,1,185.5216456,122.1012853,-972.4018669,1587.992085,222.0968367,1862.064514
,1,184.1023591,124.2675646,-1027.48546,1533.905278,222.1173254,1846.237193
,1,182.6069035,126.3594929,-1081.682362,1481.114016,222.06306,1834.048925
,1,181.0363246,128.3787634,-1135.17747,1429.50388,221.9352557,1825.406594
,1,179.3914222,130.3269136,-1188.144159,1378.964533,221.7349471,1820.227933
,1,176.7858907,133.1187811,-1266.960401,1304.930255,221.3003865,1818.799501
,1,174.9571754,134.894877,-1319.308839,1256.606298,220.9222512,1821.986609
,1,173.0551658,136.6040711,-1371.675869,1208.989882,220.47395,1828.428622
,1,171.0796813,138.2472487,-1424.208396,1161.98087,219.9558117,1838.088436
,1,169.0303371,139.8251553,-1477.052269,1115.479325,219.3680216,1850.939634
,1,166.9065437,141.3383957,-1530.353895,1069.384626,218.7106226,1866.967199
,1,164.7075045,142.7874325,-1584.261869,1023.594515,217.9835152,1886.168445
,1,162.432211,144.172582,-1638.928645,978.00403,217.1864558,1908.554162
,1,160.0794354,145.4940099,-1694.512289,932.5043058,216.3190527,1934.149989
,1,157.647721,146.7517239,-1751.178358,886.981214,215.3807614,1962.998042
,1,155.1353695,147.9455649,-1809.101952,841.3137863,214.3708774,1995.158831
,1,152.5404253,149.0751957,-1868.469999,795.3723736,213.288526,2030.713508
